型式,メーカー,最大トルク,許容連続トルク,慣性モーメント,許容モーメント荷重,最高回転数,ベアリングオフセット,ベアリングピッチ円直径,基本動定格荷重,基本静定格荷重,許容アキシャル荷重,許容モーメント容量,モーメント剛性,,,,,,,,,,,
単位,,Nm,Nm,kgm^2,Nm,rpm,mm,mm,N,N,N,Nm,Nm/rad,,,,,,,,,,,
FHA-8C-30,ハーモニックドライブ,1.8,0.18,0.0026,15,193,12.9,35,5800,8000,200,15,20000,,,,,,,,,,,
FHA-8C-50,ハーモニックドライブ,3.3,0.34,0.0074,15,116,12.9,35,5800,8000,200,15,20000,,,,,,,,,,,
FHA-8C-100,ハーモニックドライブ,4.8,0.49,0.029,15,58,12.9,35,5800,8000,200,15,20000,,,,,,,,,,,
FHA-11C-30,ハーモニックドライブ,4.5,0.46,0.0060,40,193,14,42.5,6500,9900,300,40,40000,,,,,,,,,,,
FHA-11C-50,ハーモニックドライブ,8.3,0.85,0.017,40,116,14,42.5,6500,9900,300,40,40000,,,,,,,,,,,
FHA-11C-100,ハーモニックドライブ,11,1.1,0.067,40,58,14,42.5,6500,9900,300,40,40000,,,,,,,,,,,
FHA-14C-30,ハーモニックドライブ,9.5,0.92,0.018,75,193,14,54,7400,12800,500,75,80000,,,,,,,,,,,
FHA-14C-50,ハーモニックドライブ,18,1.8,0.050,75,116,14,54,7400,12800,500,75,80000,,,,,,,,,,,
FHA-14C-100,ハーモニックドライブ,28,2.9,0.20,75,58,14,54,7400,12800,500,75,80000,,,,,,,,,,,
SHA20A51,ハーモニックドライブ,73,73,0.23,187,117.6,23.5,,,,,,252000,,,,,,,,,,,
SHA20A81,ハーモニックドライブ,96,96,058,187,74.1,,,,,,,252000,,,,,,,,,,,
SHA20A101,ハーモニックドライブ,107,107,091,187,59.4,,,,,,,252000,,,,,,,,,,,
SHA20A121,ハーモニックドライブ,113,113,1.3,187,49.6,,,,,,,252000,,,,,,,,,,,
SHA20A161,ハーモニックドライブ,120,120,2.3,187,37.3,,,,,,,252000,,,,,,,,,,,
SHA25A11,ハーモニックドライブ,26,9,0.029,258,509.1,,,,,,,379000,,,,,,,,,,,
SHA25A51,ハーモニックドライブ,127,41,0.56,258,109.8,,,,,,,392000,,,,,,,,,,,
SHA25A81,ハーモニックドライブ,178,67,1.4,258,69.1,,,,,,,392000,,,,,,,,,,,
SHA25A101,ハーモニックドライブ,204,81,2.2,258,55.4,,,,,,,392000,,,,,,,,,,,
SHA25A121,ハーモニックドライブ,217,81,3.2,258,46.3,,,,,,,392000,,,,,,,,,,,
SHA25A161,ハーモニックドライブ,229,81,5.6,258,34.8,,,,,,,392000,,,,,,,,,,,
SHA32A11,ハーモニックドライブ,62,20,0.091,932,436.4,,,,,,,861000,,,,,,,,,,,
SHA32A51,ハーモニックドライブ,281,92,2.0,580,94.1,,,,,,,100000,,,,,,,,,,,
SHA32A81,ハーモニックドライブ,395,153,5.1,580,59.3,,,,,,,100000,,,,,,,,,,,
SHA32A101,ハーモニックドライブ,433,178,8.0,580,47.5,,,,,,,100000,,,,,,,,,,,
SHA32A121,ハーモニックドライブ,459,178,11,580,39.7,,,,,,,100000,,,,,,,,,,,
SHA32A161,ハーモニックドライブ,484,178,20,580,29.8,,,,,,,100000,,,,,,,,,,,
SHA40A51,ハーモニックドライブ,340,94,5.0,849,78.4,,,,,,,179000,,,,,,,,,,,
SHA40A81,ハーモニックドライブ,560,158,13,849,49.4,,,,,,,179000,,,,,,,,,,,
SHA40A101,ハーモニックドライブ,686,198,20,849,39.6,,,,,,,179000,,,,,,,,,,,
SHA40A121,ハーモニックドライブ,802,237,28,849,33.1,,,,,,,179000,,,,,,,,,,,
SHA40A161,ハーモニックドライブ,841,317,50,849,24.8,,,,,,,179000,,,,,,,,,,,
SHA40A51,ハーモニックドライブ,523,160,5.0,849,78.4,,,,,,,179000,,,,,,,,,,,
SHA40A81,ハーモニックドライブ,675,263,13,849,49.4,,,,,,,179000,,,,,,,,,,,
SHA40A101,ハーモニックドライブ,738,330,20,849,39.6,,,,,,,179000,,,,,,,,,,,
SHA40A121,ハーモニックドライブ,802,382,28,849,33.1,,,,,,,179000,,,,,,,,,,,
SHA40A161,ハーモニックドライブ,841,382,50,849,24.8,,,,,,,179000,,,,,,,,,,,
SHA58A81,ハーモニックドライブ,1924,714,96,2180,37.0,,,,,,,531000,,,,,,,,,,,
SHA58A101,ハーモニックドライブ,2067,905,149,2180,29.7,,,,,,,531000,,,,,,,,,,,
SHA58A121,ハーモニックドライブ,2236,969,214,2180,24.8,,,,,,,531000,,,,,,,,,,,
SHA58A161,ハーモニックドライブ,2392,969,379,2180,18.6,,,,,,,531000,,,,,,,,,,,
SHA65A81,ハーモニックドライブ,2400,921,110,2740,34.6,,,,,,,741000,,,,,,,,,,,
SHA65A101,ハーモニックドライブ,2990,1149,171,2740,27.7,,,,,,,741000,,,,,,,,,,,
SHA65A121,ハーモニックドライブ,3263,1236,245,2740,23.1,,,,,,,741000,,,,,,,,,,,
SHA65A161,ハーモニックドライブ,3419,1236,433,2740,17.4,,,,,,,741000,,,,,,,,,,,
