型式,コロのピッチ円直径,オフセット量,基本動定格荷重,基本静定格荷重,許容モーメント荷重,モーメント剛性
SHA20A-SG,70,23.5,14.6,22,187,25.2
SHA20A-CG,70,19.5,14.6,22,187,25.2
SHA25A-SG,85,27.6,21.8,35.8,258,39.2
SHA25A-CG,85,21.6,21.8,35.8,258,39.2
SHA25A-HP,85,15.3,11.4,20.3,410,37.9
SHA32A-SG,111,34.9,38.2,65.4,580,100
SHA32A-CG,111,25.4,38.2,65.4,580,100
SHA32A-HP,111.5,15,22.5,39.9,932,86.1
SHA40A-SG,133,44,43.3,81.6,849,179
SHA40A-CG,133,29.5,43.3,81.6,849,179
SHA58A-SG,195,62.2,87.4,171,2180,531
SHA65A-SG,218,69,130,223,2740,741
